site,year,quad,shrubcov,drygrass
KM230,1982,1,0.05,0
KM232,1982,1,0,0.05
KM14,1982,1,0.1,0
KM11,1982,1,0.1,0
KM60,1982,1,0.1,0
KM193,1982,1,0,3
KM412,1982,1,15,0
KM309,1982,1,0.1,0.05
KM50,1982,1,3.05,3
KM282,1982,1,0,3
Cope Hut,2022,1,30,15
Cope Hut,2022,2,24,0
Cope Hut,2022,3,15,37.5
Cope Hut,2022,4,3.1,15
Mt Cope Rd,2022,1,6,15
Mt Cope Rd,2022,2,0.05,15
Mt Cope Rd,2022,3,3.05,15
Mt Cope Rd,2022,4,18.05,62.5
Youngs Top 2,2022,1,3,15
Youngs Top 2,2022,2,0,0
Youngs Top 2,2022,3,9,0.05
Youngs Top 2,2022,4,0,0.05
Youngs Top 3,2022,1,0.05,3
Youngs Top 3,2022,2,0.05,0.05
Youngs Top 3,2022,3,0,15
Youngs Top 3,2022,4,0,15
Bakers Spur,2022,1,18,15
Bakers Spur,2022,2,36.05,15
Bakers Spur,2022,3,45.05,0.05
Basalt NE,2022,1,0,15
Basalt NE,2022,2,3.05,3
Basalt NE,2022,3,0.1,0
Basalt S,2022,1,15.1,0
Basalt S,2022,2,3,15
Above Cultivation,2022,1,46.55,0.05
Above Cultivation,2022,2,12,3
Above Cultivation,2022,3,3,0.05
Above Cultivation,2022,4,21.1,3
Allies ,2022,1,21,0.05
Allies ,2022,2,18,0.05
Allies ,2022,3,3,18
Fitzys Hut,2022,1,40.55,15
Fitzys Hut,2022,2,18.1,30
Fitzys Hut,2022,3,40.5,18
Fitzys Track,2022,1,15,15
Fitzys Track,2022,2,0.05,3
Hollands Knob,2022,1,33.1,3
Hollands Knob,2022,2,3,0
Heathy Spur 3,2022,1,43.5,3
Heathy Spur 3,2022,2,71.55,3
Heathy Spur 3,2022,3,55.55,0.05
Marm Point,2022,1,18.05,37.5
Marm Point,2022,2,55.55,15
Marm Point,2022,3,21,6
Marm Point,2022,4,30.1,18
Heathy Spur 1,2022,1,30.05,3
Heathy Spur 1,2022,2,30.15,15
Heathy Spur 1,2022,3,18.15,3
