Site,Date,Year,Quadrat no.,Northing,Easting,SHRUB,HERB,MONOCOT,FERN,BRYO,BAREGROUND,ROCK,VEG_HT,Acaena.novae-zelandiae,Acetosella.vulgaris,Acrothamnus.spp.,Agrostis.capillaris,Agrostis.venusta,Argyrotegium.fordianum,Argyrotegium.nitidulum,Asperula.gunnii,Asperula.pucilla,Asterolasia.trymalioides,Brachyscome.decipiens,Brachyscome.nivalis,Brachyscome.scapigera,Carex.breviculmis,Carex.hebes,Celmisia.spp.,Cerastium.spp.,Colobanthus.affinis,Coronidium.monticola,Craspedia.spp.,Deyeuxia.monticola,Epilobium.billardierianum,Euphrasia.collina,Ewartia.nubigena,Exocarpus.nanus,Gentianella.muelleriana,Geranium.spp.,Grevillea.australis,Gonocarpus.montanus,Goodenia.hederacea,Goodenia.montanus,Hypochaeris.radicata,Isolepis.spp.,Leptinella.filicila,Luzula.acutifolia,Luzula.modesta,Luzula.novae-cambriae,Lycopodium.fastigiatum,Melicytus.angustifolius,Microseris.lanceolata,Olearia.brevipedunculata,Olearia.frostii,Olearia.phlogopappa,Oreomyrrhis.eriopoda,Orites.lancifolius,Pappachroma.bellidoidies,Pappochroma.nitidum,Phebalium.squamulosum,Pimelea.alpina,Pimelea.axiflora,Plantago.euryphylla,Poa.costiniana,Poa.fawcettiae,Poa.helmsii,Poa.hiemata,Poa.hothamensis,Poa.phillipsiana,Podocarpus.lawrencii,Polystichum.proliferum,Prasophyllum.sp.,Ranunculus.eichlaranus,Ranunculus.victoriensis,Rytidosperma.nudiflorum,Scleranthus.biflorus,Scleranthus.singuliflorus,Senecio.pinnatifolius,Stackhousia.pulvinarus,Stellaria.pungens,Stylidium.graminifolium,Trachymene.humulis,Trifolium.repens,Trisetum.spicatum,Viola.betonicifolia,Wahlenbergia.gloriosa
Cope Hut,19/01/2022,2022,1,526124,5915613,20,30,20,0,0,10,20,7.7,0,0.5,2,0,0.5,0,0.01,0,0.01,0,0,0,0,0.5,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.01,0
Cope Hut,19/01/2022,2022,2,526126,5915598,20,30,15,0,0,5,20,7.6,0,2,2,0,1,0,0.01,1,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,1,0,1,2,0,0.01,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0.01,0
Cope Hut,19/01/2022,2022,3,526112,5915578,20,35,35,0,0,5,20,10,0,1,2,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0.01,0,0,0,0,0,0,0.5,1,0,0,3,0,0,0,0,0.01,0,0,2,1,0,0,0,0,0,2,0,1,1,0
Cope Hut,19/01/2022,2022,4,526082,5915594,5,50,30,0,0,5,10,3,0,1,0,0,1,1,0.5,0,1,0,0.5,0,0,0,1,1,0,0,0,0.01,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0,0,0.01,0,0,0,0.5,0.5,1,0,0,2,0,0,0,0.01,1,0,0,1,0,0,0,0.5,0,0,3,0,0,0,0
Mt Cope Rd,19/01/2022,2022,1,526213,5913600,15,40,40,0,0,5,0,13.9,0.5,0.5,1,0,0.5,0.01,0.01,0,2,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,1,0.5,1,0,0,1,0,0,2,0,1,0.5,0
Mt Cope Rd,19/01/2022,2022,2,526216,5913627,10,35,50,0,0,5,0,11.8,0,1,0.5,0,1,0.5,0.01,0,2,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,2,0,0
Mt Cope Rd,19/01/2022,2022,3,526241,5913652,30,20,50,0,0,5,0,14.2,0,1,1,0,0,0,0,0,2,0.5,0,0,0,1,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,2,0,0
Mt Cope Rd,19/01/2022,2022,4,526243,5913694,5,10,80,0,0,5,0,12.8,0,0.5,1,0,0.5,0,0.5,0,1,0.5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.5,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0
Youngs Top 2,14/02/2022,2022,1,520173,5911679,1,49,49,0,0,0,1,21.2,0,1,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.5,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0.5,1,1,0,2,2,0,0,0,0,0,0.01,0.5,1,0,0,0,0,0,0,1,0,0.01,0
Youngs Top 2,14/02/2022,2022,2,520212,5911692,0,30,60,0,0,1,2,13.3,1,1,0,0,0.5,0,0.01,0,0,0,0,0,0,0,1,0,0.01,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.01,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,2,0,0,0,0,0,0,0.01,0,0,0.5,0,1,0,0,0,0,0,0,1,0.01,0.01,0
