"","site","Survey","date","year","plot","sp","sp2","wdt_1"
"1","Cope Creek 2","1990s","9/1/1991",1990,14,"Acrothamnus montanus","Acrothamnus",50
"2","Cope Creek 2","1990s","9/1/1991",1990,31,"Acrothamnus montanus","Acrothamnus",80
"3","Cope Creek 2","1990s","9/1/1991",1990,31,"Acrothamnus montanus","Acrothamnus",99
"4","Middle Creek 1","1990s","22/2/1991",1990,3,"Acrothamnus montanus","Acrothamnus",6
"5","Middle Creek 1","1990s","22/2/1991",1990,3,"Acrothamnus montanus","Acrothamnus",30
"6","Middle Creek 1","1990s","22/2/1991",1990,5,"Acrothamnus montanus","Acrothamnus",14
"7","Middle Creek 1","1990s","22/2/1991",1990,10,"Acrothamnus montanus","Acrothamnus",35
"8","Middle Creek 1","1990s","22/2/1991",1990,16,"Acrothamnus montanus","Acrothamnus",13
"9","Middle Creek 1","1990s","22/2/1991",1990,23,"Acrothamnus montanus","Acrothamnus",23
"10","Middle Creek 1","1990s","22/2/1991",1990,30,"Acrothamnus montanus","Acrothamnus",9
"11","Middle Creek 1","1990s","22/2/1991",1990,32,"Acrothamnus montanus","Acrothamnus",12
"12","Middle Creek 1","1990s","22/2/1991",1990,33,"Acrothamnus montanus","Acrothamnus",7
"13","Middle Creek 1","1990s","22/2/1991",1990,38,"Acrothamnus montanus","Acrothamnus",17
"14","Middle Creek 1","1990s","22/2/1991",1990,39,"Acrothamnus montanus","Acrothamnus",21
"15","Middle Creek 1","1990s","22/2/1991",1990,40,"Acrothamnus montanus","Acrothamnus",10
"16","Middle Creek 1","1990s","22/2/1991",1990,40,"Acrothamnus montanus","Acrothamnus",34
"17","Middle Creek 2","1990s","7/1/1992",1990,2,"Acrothamnus montanus","Acrothamnus",10
"18","Middle Creek 2","1990s","7/1/1992",1990,2,"Acrothamnus montanus","Acrothamnus",20
"19","Middle Creek 2","1990s","7/1/1992",1990,7,"Acrothamnus montanus","Acrothamnus",10
"20","Middle Creek 2","1990s","7/1/1992",1990,9,"Acrothamnus montanus","Acrothamnus",15
"21","Middle Creek 2","1990s","7/1/1992",1990,10,"Acrothamnus montanus","Acrothamnus",15
"22","Middle Creek 2","1990s","7/1/1992",1990,17,"Acrothamnus montanus","Acrothamnus",25
"23","Middle Creek 2","1990s","7/1/1992",1990,22,"Acrothamnus montanus","Acrothamnus",10
"24","Middle Creek 2","1990s","7/1/1992",1990,22,"Acrothamnus montanus","Acrothamnus",15
"25","Middle Creek 2","1990s","7/1/1992",1990,25,"Acrothamnus montanus","Acrothamnus",20
"26","Middle Creek 2","1990s","7/1/1992",1990,25,"Acrothamnus montanus","Acrothamnus",30
"27","Middle Creek 2","1990s","7/1/1992",1990,26,"Acrothamnus montanus","Acrothamnus",30
"28","Middle Creek 2","1990s","7/1/1992",1990,26,"Acrothamnus montanus","Acrothamnus",40
"29","Middle Creek 2","1990s","7/1/1992",1990,33,"Acrothamnus montanus","Acrothamnus",10
"30","Middle Creek 2","1990s","7/1/1992",1990,33,"Acrothamnus montanus","Acrothamnus",15
"31","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",15
"32","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",15
"33","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",20
"34","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",25
"35","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",25
"36","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",30
"37","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",30
"38","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",40
"39","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",60
"40","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",80
"41","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",5
"42","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",5
"43","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10
"44","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10
"45","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10
"46","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10
"47","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10
"48","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10
"49","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10
"50","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",15
"51","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",15
"52","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",20
"53","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",20
"54","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",25
"55","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",25
"56","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",25
"57","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",30
"58","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",35
"59","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",70
"60","Mt Cope 1","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",10
"61","Mt Cope 1","1990s","6/1/1993",1990,14,"Acrothamnus montanus","Acrothamnus",30
"62","Mt Cope 1","1990s","6/1/1993",1990,28,"Acrothamnus montanus","Acrothamnus",33
"63","Mt Cope 1","1990s","6/1/1993",1990,30,"Acrothamnus montanus","Acrothamnus",15
"64","Mt Cope 1","1990s","6/1/1993",1990,32,"Acrothamnus montanus","Acrothamnus",28
"65","Mt Cope 1","1990s","6/1/1993",1990,33,"Acrothamnus montanus","Acrothamnus",8
"66","Mt Cope 2","1990s","6/1/1993",1990,4,"Acrothamnus montanus","Acrothamnus",9
"67","Mt Cope 2","1990s","6/1/1993",1990,6,"Acrothamnus montanus","Acrothamnus",30
"68","Mt Cope 2","1990s","6/1/1993",1990,10,"Acrothamnus montanus","Acrothamnus",70
"69","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",10
"70","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",17
"71","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",19
"72","Mt Cope 2","1990s","6/1/1993",1990,29,"Acrothamnus montanus","Acrothamnus",21
"73","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",1
"74","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",1
"75","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",3
"76","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",7
"77","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",8
"78","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",8
"79","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",9
"80","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",10
"81","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",15
"82","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",18
"83","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",22
"84","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",24
"85","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",25
"86","Heathy Spur 2","1990s","30/3/1995",1990,2,"Acrothamnus montanus","Acrothamnus",7
"87","Heathy Spur 2","1990s","30/3/1995",1990,2,"Acrothamnus montanus","Acrothamnus",8
"88","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3
"89","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3
"90","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3
"91","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5
"92","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5
"93","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5
"94","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",7
"95","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",8
"96","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",10
"97","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",12
"98","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",15
"99","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",17
"100","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",75
"101","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",1
"102","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",2
"103","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",3
"104","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",4
"105","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",4
"106","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",4
"107","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",6
"108","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",6
"109","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",8
"110","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",12
"111","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",12
"112","Heathy Spur 2","1990s","30/3/1995",1990,4,"Acrothamnus montanus","Acrothamnus",29
"113","Heathy Spur 2","1990s","30/3/1995",1990,5,"Acrothamnus montanus","Acrothamnus",4
"114","Heathy Spur 2","1990s","30/3/1995",1990,5,"Acrothamnus montanus","Acrothamnus",17
"115","Heathy Spur 2","1990s","30/3/1995",1990,5,"Acrothamnus montanus","Acrothamnus",99
"116","Heathy Spur 2","1990s","30/3/1995",1990,6,"Acrothamnus montanus","Acrothamnus",10
"117","Heathy Spur 2","1990s","30/3/1995",1990,7,"Acrothamnus montanus","Acrothamnus",6
"118","Heathy Spur 2","1990s","30/3/1995",1990,8,"Acrothamnus montanus","Acrothamnus",34
"119","Heathy Spur 2","1990s","30/3/1995",1990,9,"Acrothamnus montanus","Acrothamnus",40
"120","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",2
"121","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",2
"122","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",3
"123","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",6
"124","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",7
"125","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",7
"126","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",80
"127","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",5
"128","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",8
"129","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",11
"130","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",12
"131","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",30
"132","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",1
"133","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",1
"134","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",2
"135","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",3
"136","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",11
"137","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",23
"138","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",33
"139","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",3
"140","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",3
"141","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",5
"142","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",6
"143","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",6
"144","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",14
"145","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",14
