"","site","Acaena.novae.zelandiae","Acetosella.vulgaris","Acrothamnus.spp.","Agrostis.capillaris","Agrostis.venusta","Argyrotegium.fordianum","Argyrotegium.nitidulum","Asperula.gunnii","Asperula.pucilla","Asterolasia.trymalioides","Brachyscome.decipiens","Brachyscome.nivalis","Brachyscome.scapigera","Carex.breviculmis","Carex.hebes","Celmisia.spp.","Cerastium.spp.","Colobanthus.affinis","Coronidium.monticola","Craspedia.spp.","Deyeuxia.monticola","Epilobium.billardierianum","Euphrasia.collina","Ewartia.nubigena","Exocarpus.nanus","Geranium.spp.","Grevillea.australis","Gonocarpus.montanus","Goodenia.hederacea","Hypochaeris.radicata","Isolepis.spp.","Leptinella.filicila","Luzula.acutifolia","Luzula.modesta","Luzula.novae.cambriae","Lycopodium.fastigiatum","Melicytus.angustifolius","Microseris.lanceolata","Olearia.brevipedunculata","Olearia.frostii","Olearia.phlogopappa","Oreomyrrhis.eriopoda","Orites.lancifolius","Pappachroma.bellidoidies","Pappochroma.nitidum","Phebalium.squamulosum","Pimelea.alpina","Pimelea.axiflora","Plantago.euryphylla","Poa.costiniana","Poa.fawcettiae","Poa.helmsii","Poa.hiemata","Poa.hothamensis","Poa.phillipsiana","Podocarpus.lawrencii","Polystichum.proliferum","Prasophyllum.sp.","Ranunculus.eichlaranus","Ranunculus.victoriensis","Rytidosperma.nudiflorum","Scleranthus.biflorus","Scleranthus.singuliflorus","Senecio.pinnatifolius","Stackhousia.pulvinarus","Stellaria.pungens","Stylidium.graminifolium","Trachymene.humulis","Trifolium.repens","Trisetum.spicatum","Viola.betonicifolia","Wahlenbergia.gloriosa"
"1","Above Cultivation_max",0,0.5,2.5,0,0.5,0.5,0,0.5,0,2.5,0.5,0.5,0,0.5,0,17,0,0,0,0,0,0,0,0,0,0,33,0,0,2.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,2.5,0,0,2.5,0,0,17,0.01,0,0,0.01,0,0.5,0.5,0.5,0,0,0,0,0,17,0,0,0.5,0
"2","Allies _max",0.01,0.5,2.5,0,0,2.5,0.5,0.5,0,0,0.01,0,0,0,0,33,0,0,0,0.01,0.5,0,0.01,0,0,0,2.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.01,0,0,0,17,0,0,0.5,0,33,0,0.5,0.5,0,0,0,0.01,0,0.5,0.5,2.5,2.5,0,0,0,0,0,0,0,0.5,0
"3","Bakers Spur_max",0,0.5,17,0,0,0,0,0,0,0,0,0,0,0,0.01,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2.5,0,0,0.01,0,0,0,0.5,0,0,0,0,0,17,0,0.5,0,0,0.5,0,0.5,2.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"4","Basalt NE_max",0,2.5,2.5,17,0,0,0,0.5,0,0,0,0,0,0,0.5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,2.5,17,0,0,0,0,0,2.5,2.5,0.5,0,0,0,0,0,17,0,0,0,0
"5","Basalt S_max",0.5,0.5,0.5,33,0,0.5,0,0.01,0,0,0.5,2.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,2.5,0,0,0,0,0,17,0,0,17,0,0,2.5,0,0,0,0,0,0.5,17,0,0,0,0,0.5,0.5,0,2.5,0,0,2.5,0,0,2.5,0,0,0,0.5,2.5,0,0,0,0,0,0,0.5,0,0.5,0
"6","Cope Hut_max",0,0.5,17,0,0.5,0,0.01,0,0.01,0,0,0,0,0.5,0,33,0,0,0,0,2.5,0,0,0,0,0,17,0,0,17,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2.5,2.5,0,0,17,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0.01,0
"7","Fitzys Hut_max",0,0.5,33,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.01,17,0,0,0,0.01,0.5,0,0.01,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0.01,0,0.01,0,2.5,0,0.5,0.5,0,0,0,17,2.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0
"8","Fitzys Track_max",0,0.5,17,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0.5,2.5,0,0.5,0,2.5,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,2.5,0,0.5,0,0,0,0,0,0,0.5,0,17,0,0,17,17,0,0,0,0,0.5,0.5,0.01,0,0,0,0,0,0.5,0,0,0.5,0
"9","Heathy Spur 1_max",0,0.5,17,0,0.5,0,0,0,0,0,0.5,0,0,17,2.5,66,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,17,0,0,0,0,17,17,0,0,0,0.5,0,0.5,17,2.5,0,0,0,0,2.5,2.5,0,0,0.5,0
"10","Heathy Spur 3_max",0.5,0.5,2.5,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,33,0,0,0,0.5,0,0,0,0,0,0,66,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,2.5,0.5,2.5,0.5,0,0,0,2.5,2.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0.5,0.5,0
"11","Hollands Knob_max",0,0.5,0.5,17,0,2.5,0.01,2.5,0,0.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,17,0,2.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2.5,0,0,33,0,0,0.5,2.5,0,0,0,0,0,0.5,0,0,0,2.5,0,0,2.5,0,0,0.5,0
"12","Marm Point_max",0,0.5,17,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,66,0,0,0,0.5,0,0,0,0,0.5,0,33,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,2.5,0,0,0,0,0,2.5,0.5,0,0.5,0,0,0,17,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0
"13","Mt Cope Rd_max",0,0.5,2.5,0,0.5,0,0.5,0,2.5,0.5,0,0,0,2.5,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,2.5,0,0,0,17,17,0,0,0,0,0,0,0,0,0.5,2.5,0,0,66,0,0,0,0,0,0,2.5,0,2.5,0,0,0,0,0,17,0,2.5,0,0
"14","Youngs Top 2_max",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,17,0,0,2.5,0,0,0,0,0,0,0,2.5,0.5,0,0.01,0,0,0,0,2.5,2.5,0,0,0.5,0.5,0,2.5,2.5,0.01,0,2.5,17,2.5,0,0,0.5,0,0,2.5,2.5,0,2.5,0
"15","Youngs Top 3_max",0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,17,0,0,2.5,0,0.5,0,0,0.01,0,0,0,0.01,0,0.5,0,0,0,0.5,2.5,0.01,33,0,2.5,0,0,0,0.5,0,0,0.5,17,0,0,0,0,0,0,0,2.5,0.5,2.5,0.01
"16","Above Cultivation_min",0,0.5,2.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,33,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,2.5,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0,0,0.5,0,17,0,0,2.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0
"17","Allies _min",0,0.5,2.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0.5,33,0,0,0,0.01,0,0,2.5,0,0,0,0,0,0,0.5,0,0,2.5,0,0,0,0,0,0,0,0,0.01,0,2.5,0,0,0,0,0.5,0,17,0,17,2.5,2.5,0,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
"18","Bakers Spur_min",0,0,2.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,17,0,0,0,0,0.5,0,0,0,0,0,17,0,0,0,0,0,2.5,0,0,0.01,0,0,0,2.5,0,0,0,0,0,0,0,0,0.5,2.5,0,0,17,2.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0
"19","Basalt NE_min",0,2.5,0,33,0.5,0,0,0,0,0,0,0,0,0,2.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0.5,2.5,0,0,0,0,0,0,0.5,0,0,0.5,0
"20","Basalt S_min",0,0.5,2.5,17,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,2.5,0,0,0,0,0,33,0,0.5,17,0,0,17,0,0,0,0,0,0.5,0,0.5,0,0,0,0,2.5,0,0,0,17,2.5,0,0,0,0.5,0,2.5,2.5,2.5,0,0,0,0,0,2.5,0.5,0.5,0.5,0
"21","Cope Hut_min",0,2.5,0,0,2.5,2.5,0.5,0,2.5,0,0.5,0,0,0,2.5,2.5,0,0,0,0.01,2.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,2.5,0,0,0,2.5,2.5,0,0,0.01,0,0,0,0.5,0.5,2.5,0,0,17,0,0,0,0.01,2.5,0,0,2.5,0,0,0,0.5,0,0,33,0,0,0,0
"22","Fitzys Hut_min",0,0.5,2.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,33,0,0,0,0.5,0.01,0,0.5,0,2.5,0,17,0.5,0,0.5,0,0,2.5,0,0,0,0,0,0.5,0,0,0,0,0.01,0,0,0,0.5,0.5,0,0,0,17,2.5,17,0,0,0.01,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0
"23","Fitzys Track_min",0.01,0.5,0,0,17,0,0.5,0,0,0,0,0,0,0.5,0.01,2.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,2.5,0,0.5,0.5,0,0.01,0.5,0,0,0,2.5,0,0.5,0,0,0,0,0,0.01,0,0,2.5,0,0,0,2.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,2.5,0,0,0.5,0
"24","Heathy Spur 1_min",0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,66,0,0,0.5,2.5,0,0,0,0,0,0,0.5,2.5,0,0.5,0,0.5,0.5,0,0,2.5,0.5,0.5,2.5,0,0,0,0,0,0,0.5,0,17,0,0,0,0,2.5,2.5,0,0,0,0,0,0.5,0,2.5,0,0,0,0,0,0.5,0,0.5,0.5,0.5
"25","Heathy Spur 3_min",0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,33,0,2.5,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,2.5,2.5,2.5,2.5,0,0,0,2.5,2.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0
"26","Hollands Knob_min",0,0.5,2.5,0,0.5,17,0,0.01,0,0,0.5,0,0,0,0.01,2.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,2.5,0.01,0,0.01,2.5,0.01,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0,17,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,17,0,0,0,0
"27","Marm Point_min",0,0.5,17,0,0,0,0,0.5,0,0,0,0,0,0.5,0,33,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,2.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,33,2.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0
"28","Mt Cope Rd_min",0,2.5,0.5,0,2.5,0.5,0.01,0,17,0,0,0,0,0,2.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,17,0,0.5,0,0,0,0,0,0,2.5,2.5,0,0,17,0,0,0,0,0,0,2.5,2.5,2.5,0,0,0,0,0,17,0,17,0,0
"29","Youngs Top 2_min",2.5,2.5,0,0,0.5,0,0.01,0,0,0,0,0,0,0,2.5,0,0.01,0,0,0,0.5,0,0,0,0,0,0,0,0,17,0,0.01,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,2.5,17,0,0,0,0,0,0,0.01,0,0,0.5,0,2.5,0,0,0,0,0,0,2.5,0.01,0.01,0
"30","Youngs Top 3_min",0.01,0.5,0,0,0,0.01,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0.5,17,0,0,17,0,0,0,0,0,0.5,0.5,0.5,2.5,0,0,0.5,0,0,0,2.5,0.5,2.5,0.5
