"","site","Survey","date","year","plot","sp","sp2","wdt_1","wdt_2","ht","area","area_m","notes","X","X.1","X.2"
"1","Cope Creek 2","1990s","9/1/1991",1990,14,"Acrothamnus montanus","Acrothamnus",50,0,22,1963,4375,0,19634375,"",NA
"2","Cope Creek 2","1990s","9/1/1991",1990,31,"Acrothamnus montanus","Acrothamnus",80,0,35,5026,4,0,50264,"",NA
"3","Cope Creek 2","1990s","9/1/1991",1990,31,"Acrothamnus montanus","Acrothamnus",99,99,0,25,7852,179329,0,"785217933",NA
"4","Middle Creek 1","1990s","22/2/1991",1990,3,"Acrothamnus montanus","Acrothamnus",6,0,6,28,2735,0,282735,"",NA
"5","Middle Creek 1","1990s","22/2/1991",1990,3,"Acrothamnus montanus","Acrothamnus",30,0,20,706,8375,0,7068375,"",NA
"6","Middle Creek 1","1990s","22/2/1991",1990,5,"Acrothamnus montanus","Acrothamnus",14,0,11,153,9335,0,1539335,"",NA
"7","Middle Creek 1","1990s","22/2/1991",1990,10,"Acrothamnus montanus","Acrothamnus",35,0,23,962,84375,0,96208438,"",NA
"8","Middle Creek 1","1990s","22/2/1991",1990,16,"Acrothamnus montanus","Acrothamnus",13,0,12,132,728375,0,13272838,"",NA
"9","Middle Creek 1","1990s","22/2/1991",1990,23,"Acrothamnus montanus","Acrothamnus",23,0,20,415,463375,0,41546338,"",NA
"10","Middle Creek 1","1990s","22/2/1991",1990,30,"Acrothamnus montanus","Acrothamnus",9,0,6,63,615375,0,6361538,"",NA
"11","Middle Creek 1","1990s","22/2/1991",1990,32,"Acrothamnus montanus","Acrothamnus",12,0,9,113,94,0,113094,"",NA
"12","Middle Creek 1","1990s","22/2/1991",1990,33,"Acrothamnus montanus","Acrothamnus",7,0,9,38,483375,0,3848338,"",NA
"13","Middle Creek 1","1990s","22/2/1991",1990,38,"Acrothamnus montanus","Acrothamnus",17,0,18,226,973375,0,22697338,"",NA
"14","Middle Creek 1","1990s","22/2/1991",1990,39,"Acrothamnus montanus","Acrothamnus",21,0,22,346,350375,0,34635038,"",NA
"15","Middle Creek 1","1990s","22/2/1991",1990,40,"Acrothamnus montanus","Acrothamnus",10,0,12,78,5375,0,785375,"",NA
"16","Middle Creek 1","1990s","22/2/1991",1990,40,"Acrothamnus montanus","Acrothamnus",34,0,28,907,8935,0,9078935,"",NA
"17","Middle Creek 2","1990s","7/1/1992",1990,2,"Acrothamnus montanus","Acrothamnus",10,10,10,78,5375,0,785375,"",NA
"18","Middle Creek 2","1990s","7/1/1992",1990,2,"Acrothamnus montanus","Acrothamnus",20,15,10,314,15,0,31415,"",NA
"19","Middle Creek 2","1990s","7/1/1992",1990,7,"Acrothamnus montanus","Acrothamnus",10,10,15,78,5375,0,785375,"",NA
"20","Middle Creek 2","1990s","7/1/1992",1990,9,"Acrothamnus montanus","Acrothamnus",15,10,10,176,709375,0,17670938,"",NA
"21","Middle Creek 2","1990s","7/1/1992",1990,10,"Acrothamnus montanus","Acrothamnus",15,10,15,176,709375,0,17670938,"",NA
"22","Middle Creek 2","1990s","7/1/1992",1990,17,"Acrothamnus montanus","Acrothamnus",25,25,15,490,859375,0,49085938,"",NA
"23","Middle Creek 2","1990s","7/1/1992",1990,22,"Acrothamnus montanus","Acrothamnus",10,10,10,78,5375,0,785375,"",NA
"24","Middle Creek 2","1990s","7/1/1992",1990,22,"Acrothamnus montanus","Acrothamnus",15,15,10,176,709375,0,17670938,"",NA
"25","Middle Creek 2","1990s","7/1/1992",1990,25,"Acrothamnus montanus","Acrothamnus",20,20,15,314,15,0,31415,"",NA
"26","Middle Creek 2","1990s","7/1/1992",1990,25,"Acrothamnus montanus","Acrothamnus",30,30,15,706,8375,0,7068375,"",NA
"27","Middle Creek 2","1990s","7/1/1992",1990,26,"Acrothamnus montanus","Acrothamnus",30,20,20,706,8375,0,7068375,"",NA
"28","Middle Creek 2","1990s","7/1/1992",1990,26,"Acrothamnus montanus","Acrothamnus",40,30,20,1256,6,0,12566,"",NA
"29","Middle Creek 2","1990s","7/1/1992",1990,33,"Acrothamnus montanus","Acrothamnus",10,15,10,78,5375,0,785375,"",NA
"30","Middle Creek 2","1990s","7/1/1992",1990,33,"Acrothamnus montanus","Acrothamnus",15,10,15,176,709375,0,17670938,"",NA
"31","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",15,10,15,176,709375,0,17670938,"",NA
"32","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",15,10,10,176,709375,0,17670938,"",NA
"33","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",20,15,20,314,15,0,31415,"",NA
"34","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",25,15,25,490,859375,0,49085938,"",NA
"35","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",25,20,20,490,859375,0,49085938,"",NA
"36","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",30,30,20,706,8375,0,7068375,"",NA
"37","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",30,20,25,706,8375,0,7068375,"",NA
"38","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",40,40,20,1256,6,0,12566,"",NA
"39","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",60,40,20,2827,35,0,282735,"",NA
"40","Middle Creek 2","1990s","7/1/1992",1990,36,"Acrothamnus montanus","Acrothamnus",80,50,25,5026,4,0,50264,"",NA
"41","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",5,10,25,19,634375,0,1963438,"",NA
"42","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",5,5,15,19,634375,0,1963438,"",NA
"43","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10,5,5,78,5375,0,785375,"",NA
"44","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10,5,15,78,5375,0,785375,"",NA
"45","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10,5,25,78,5375,0,785375,"",NA
"46","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10,5,25,78,5375,0,785375,"",NA
"47","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10,5,20,78,5375,0,785375,"",NA
"48","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10,5,20,78,5375,0,785375,"",NA
"49","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",10,5,15,78,5375,0,785375,"",NA
"50","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",15,5,30,176,709375,0,17670938,"",NA
"51","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",15,10,30,176,709375,0,17670938,"",NA
"52","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",20,15,15,314,15,0,31415,"",NA
"53","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",20,10,35,314,15,0,31415,"",NA
"54","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",25,10,15,490,859375,0,49085938,"",NA
"55","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",25,15,15,490,859375,0,49085938,"",NA
"56","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",25,25,20,490,859375,0,49085938,"",NA
"57","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",30,25,20,706,8375,0,7068375,"",NA
"58","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",35,40,15,962,84375,0,96208438,"",NA
"59","Middle Creek 2","1990s","7/1/1992",1990,37,"Acrothamnus montanus","Acrothamnus",70,30,30,3848,3375,0,38483375,"",NA
"60","Mt Cope 2","1990s","6/1/1993",1990,4,"Acrothamnus montanus","Acrothamnus",9,0,11,63,615375,0,6361538,"",NA
"61","Mt Cope 2","1990s","6/1/1993",1990,6,"Acrothamnus montanus","Acrothamnus",30,0,19,706,8375,0,7068375,"",NA
"62","Mt Cope 2","1990s","6/1/1993",1990,10,"Acrothamnus montanus","Acrothamnus",70,0,47,3848,3375,0,38483375,"",NA
"63","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",10,0,15,78,5375,0,785375,"",NA
"64","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",17,0,17,226,973375,0,22697338,"",NA
"65","Mt Cope 2","1990s","6/1/1993",1990,11,"Acrothamnus montanus","Acrothamnus",19,0,17,283,520375,0,28352038,"",NA
"66","Mt Cope 2","1990s","6/1/1993",1990,29,"Acrothamnus montanus","Acrothamnus",21,0,18,346,350375,0,34635038,"",NA
"67","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",1,1,5,0,785375,7,8,"5.40E+00",NA
"68","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",1,1,6,0,785375,7,8,"5.40E+00",NA
"69","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",3,5,10,7,68375,0,706838,"",NA
"70","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",7,12,20,38,483375,0,3848338,"",NA
"71","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",8,12,14,50,264,0,50264,"",NA
"72","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",8,15,10,50,264,0,50264,"",NA
"73","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",9,9,14,63,615375,0,6361538,"",NA
"74","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",10,18,12,78,5375,0,785375,"",NA
"75","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",15,26,30,176,709375,0,17670938,"",NA
"76","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",18,25,20,254,4615,0,2544615,"",NA
"77","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",22,39,29,380,1215,0,3801215,"",NA
"78","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",24,43,33,452,376,0,452376,"",NA
"79","Heathy Spur 2","1990s","30/3/1995",1990,1,"Acrothamnus montanus","Acrothamnus",25,20,23,490,859375,0,49085938,"",NA
"80","Heathy Spur 2","1990s","30/3/1995",1990,2,"Acrothamnus montanus","Acrothamnus",7,8,12,38,483375,0,3848338,"",NA
"81","Heathy Spur 2","1990s","30/3/1995",1990,2,"Acrothamnus montanus","Acrothamnus",8,9,10,50,264,0,50264,"",NA
"82","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3,5,9,7,68375,0,706838,"",NA
"83","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3,3,4,7,68375,0,706838,"",NA
"84","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",3,5,8,7,68375,0,706838,"",NA
"85","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5,8,9,19,634375,0,1963438,"",NA
"86","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5,8,10,19,634375,0,1963438,"",NA
"87","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",5,12,10,19,634375,0,1963438,"",NA
"88","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",7,10,12,38,483375,0,3848338,"",NA
"89","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",8,9,8,50,264,0,50264,"",NA
"90","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",10,13,11,78,5375,0,785375,"",NA
"91","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",12,20,16,113,94,0,113094,"",NA
"92","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",15,12,10,176,709375,0,17670938,"",NA
"93","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",17,25,22,226,973375,0,22697338,"",NA
"94","Heathy Spur 2","1990s","30/3/1995",1990,3,"Acrothamnus montanus","Acrothamnus",75,99,99,22,4417,734375,0,"441773438",NA
